point,longitude,latitude,grid_id,left_bound,top_bound,right_bound,bottom_bound
2669,-123.180078,48.56009011,56,485958.5416,5379096.821,486958.5416,5378096.821
2740,-123.1868108,48.56459001,56,485958.5416,5379096.821,486958.5416,5378096.821
2741,-123.180078,48.56459001,56,485958.5416,5379096.821,486958.5416,5378096.821
2524,-123.1868108,48.55109033,57,485958.5416,5378096.821,486958.5416,5377096.821
2525,-123.180078,48.55109033,57,485958.5416,5378096.821,486958.5416,5377096.821
2596,-123.1868108,48.55559022,57,485958.5416,5378096.821,486958.5416,5377096.821
2597,-123.180078,48.55559022,57,485958.5416,5378096.821,486958.5416,5377096.821
2380,-123.1868108,48.54209054,58,485958.5416,5377096.821,486958.5416,5376096.821
2381,-123.180078,48.54209054,58,485958.5416,5377096.821,486958.5416,5376096.821
2452,-123.1868108,48.54659044,58,485958.5416,5377096.821,486958.5416,5376096.821
2453,-123.180078,48.54659044,58,485958.5416,5377096.821,486958.5416,5376096.821
2236,-123.1868108,48.53309076,59,485958.5416,5376096.821,486958.5416,5375096.821
2237,-123.180078,48.53309076,59,485958.5416,5376096.821,486958.5416,5375096.821
2308,-123.1868108,48.53759065,59,485958.5416,5376096.821,486958.5416,5375096.821
2309,-123.180078,48.53759065,59,485958.5416,5376096.821,486958.5416,5375096.821
2092,-123.1868108,48.52409097,60,485958.5416,5375096.821,486958.5416,5374096.821
2093,-123.180078,48.52409097,60,485958.5416,5375096.821,486958.5416,5374096.821
2164,-123.1868108,48.52859086,60,485958.5416,5375096.821,486958.5416,5374096.821
2165,-123.180078,48.52859086,60,485958.5416,5375096.821,486958.5416,5374096.821
1948,-123.1868108,48.51509118,61,485958.5416,5374096.821,486958.5416,5373096.821
1949,-123.180078,48.51509118,61,485958.5416,5374096.821,486958.5416,5373096.821
2020,-123.1868108,48.51959108,61,485958.5416,5374096.821,486958.5416,5373096.821
2021,-123.180078,48.51959108,61,485958.5416,5374096.821,486958.5416,5373096.821
1804,-123.1868108,48.5060914,62,485958.5416,5373096.821,486958.5416,5372096.821
1805,-123.180078,48.5060914,62,485958.5416,5373096.821,486958.5416,5372096.821
1876,-123.1868108,48.51059129,62,485958.5416,5373096.821,486958.5416,5372096.821
1877,-123.180078,48.51059129,62,485958.5416,5373096.821,486958.5416,5372096.821
1660,-123.1868108,48.49709161,63,485958.5416,5372096.821,486958.5416,5371096.821
1661,-123.180078,48.49709161,63,485958.5416,5372096.821,486958.5416,5371096.821
1732,-123.1868108,48.50159151,63,485958.5416,5372096.821,486958.5416,5371096.821
1733,-123.180078,48.50159151,63,485958.5416,5372096.821,486958.5416,5371096.821
1516,-123.1868108,48.48809183,64,485958.5416,5371096.821,486958.5416,5370096.821
1517,-123.180078,48.48809183,64,485958.5416,5371096.821,486958.5416,5370096.821
