id,left,top,right,bottom,name,length
822,506958.541599999996834,5390096.821000000461936,507958.541599999996834,5389096.820999999530613,,
823,506958.541599999996834,5389096.820999999530613,507958.541599999996834,5388096.821000000461936,,
824,506958.541599999996834,5388096.821000000461936,507958.541599999996834,5387096.821000000461936,,
825,506958.541599999996834,5387096.821000000461936,507958.541599999996834,5386096.821000000461936,,
826,506958.541599999996834,5386096.821000000461936,507958.541599999996834,5385096.820999999530613,,
827,506958.541599999996834,5385096.820999999530613,507958.541599999996834,5384096.821000000461936,,
828,506958.541599999996834,5384096.821000000461936,507958.541599999996834,5383096.821000000461936,,
829,506958.541599999996834,5383096.821000000461936,507958.541599999996834,5382096.821000000461936,,
830,506958.541599999996834,5382096.821000000461936,507958.541599999996834,5381096.820999999530613,,
831,506958.541599999996834,5381096.820999999530613,507958.541599999996834,5380096.821000000461936,,
832,506958.541599999996834,5380096.821000000461936,507958.541599999996834,5379096.821000000461936,,
833,506958.541599999996834,5379096.821000000461936,507958.541599999996834,5378096.821000000461936,,
834,506958.541599999996834,5378096.821000000461936,507958.541599999996834,5377096.820999999530613,,
835,506958.541599999996834,5377096.820999999530613,507958.541599999996834,5376096.821000000461936,,
836,506958.541599999996834,5376096.821000000461936,507958.541599999996834,5375096.821000000461936,,
837,506958.541599999996834,5375096.821000000461936,507958.541599999996834,5374096.821000000461936,,
838,506958.541599999996834,5374096.821000000461936,507958.541599999996834,5373096.820999999530613,,
839,506958.541599999996834,5373096.820999999530613,507958.541599999996834,5372096.821000000461936,,
840,506958.541599999996834,5372096.821000000461936,507958.541599999996834,5371096.821000000461936,,
841,506958.541599999996834,5371096.821000000461936,507958.541599999996834,5370096.821000000461936,,
842,506958.541599999996834,5370096.821000000461936,507958.541599999996834,5369096.820999999530613,,
843,506958.541599999996834,5369096.820999999530613,507958.541599999996834,5368096.821000000461936,,
844,506958.541599999996834,5368096.821000000461936,507958.541599999996834,5367096.821000000461936,,
845,506958.541599999996834,5367096.821000000461936,507958.541599999996834,5366096.821000000461936,,
846,506958.541599999996834,5366096.821000000461936,507958.541599999996834,5365096.820999999530613,,
847,506958.541599999996834,5365096.820999999530613,507958.541599999996834,5364096.821000000461936,,
848,506958.541599999996834,5364096.821000000461936,507958.541599999996834,5363096.821000000461936,,
849,506958.541599999996834,5363096.821000000461936,507958.541599999996834,5362096.821000000461936,,
850,506958.541599999996834,5362096.821000000461936,507958.541599999996834,5361096.820999999530613,,
851,506958.541599999996834,5361096.820999999530613,507958.541599999996834,5360096.821000000461936,,
852,507958.541599999996834,5397096.820999999530613,508958.541599999996834,5396096.821000000461936,,
853,507958.541599999996834,5396096.821000000461936,508958.541599999996834,5395096.821000000461936,,
854,507958.541599999996834,5395096.821000000461936,508958.541599999996834,5394096.821000000461936,,
855,507958.541599999996834,5394096.821000000461936,508958.541599999996834,5393096.820999999530613,,
856,507958.541599999996834,5393096.820999999530613,508958.541599999996834,5392096.821000000461936,,
857,507958.541599999996834,5392096.821000000461936,508958.541599999996834,5391096.821000000461936,,
858,507958.541599999996834,5391096.821000000461936,508958.541599999996834,5390096.821000000461936,,
859,507958.541599999996834,5390096.821000000461936,508958.541599999996834,5389096.820999999530613,,
860,507958.541599999996834,5389096.820999999530613,508958.541599999996834,5388096.821000000461936,,
861,507958.541599999996834,5388096.821000000461936,508958.541599999996834,5387096.821000000461936,,
862,507958.541599999996834,5387096.821000000461936,508958.541599999996834,5386096.821000000461936,,
863,507958.541599999996834,5386096.821000000461936,508958.541599999996834,5385096.820999999530613,,
864,507958.541599999996834,5385096.820999999530613,508958.541599999996834,5384096.821000000461936,,
865,507958.541599999996834,5384096.821000000461936,508958.541599999996834,5383096.821000000461936,,
866,507958.541599999996834,5383096.821000000461936,508958.541599999996834,5382096.821000000461936,,
867,507958.541599999996834,5382096.821000000461936,508958.541599999996834,5381096.820999999530613,,
868,507958.541599999996834,5381096.820999999530613,508958.541599999996834,5380096.821000000461936,,
869,507958.541599999996834,5380096.821000000461936,508958.541599999996834,5379096.821000000461936,,
870,507958.541599999996834,5379096.821000000461936,508958.541599999996834,5378096.821000000461936,,
871,507958.541599999996834,5378096.821000000461936,508958.541599999996834,5377096.820999999530613,,
872,507958.541599999996834,5377096.820999999530613,508958.541599999996834,5376096.821000000461936,,
873,507958.541599999996834,5376096.821000000461936,508958.541599999996834,5375096.821000000461936,,
874,507958.541599999996834,5375096.821000000461936,508958.541599999996834,5374096.821000000461936,,
875,507958.541599999996834,5374096.821000000461936,508958.541599999996834,5373096.820999999530613,,
876,507958.541599999996834,5373096.820999999530613,508958.541599999996834,5372096.821000000461936,,
877,507958.541599999996834,5372096.821000000461936,508958.541599999996834,5371096.821000000461936,,
878,507958.541599999996834,5371096.821000000461936,508958.541599999996834,5370096.821000000461936,,
879,507958.541599999996834,5370096.821000000461936,508958.541599999996834,5369096.820999999530613,,
880,507958.541599999996834,5369096.820999999530613,508958.541599999996834,5368096.821000000461936,,
881,507958.541599999996834,5368096.821000000461936,508958.541599999996834,5367096.821000000461936,,
882,507958.541599999996834,5367096.821000000461936,508958.541599999996834,5366096.821000000461936,,
883,507958.541599999996834,5366096.821000000461936,508958.541599999996834,5365096.820999999530613,,
884,507958.541599999996834,5365096.820999999530613,508958.541599999996834,5364096.821000000461936,,
885,507958.541599999996834,5364096.821000000461936,508958.541599999996834,5363096.821000000461936,,
886,507958.541599999996834,5363096.821000000461936,508958.541599999996834,5362096.821000000461936,,
887,507958.541599999996834,5362096.821000000461936,508958.541599999996834,5361096.820999999530613,,
888,507958.541599999996834,5361096.820999999530613,508958.541599999996834,5360096.821000000461936,,
889,508958.541599999996834,5397096.820999999530613,509958.541599999996834,5396096.821000000461936,,
890,508958.541599999996834,5396096.821000000461936,509958.541599999996834,5395096.821000000461936,,
891,508958.541599999996834,5395096.821000000461936,509958.541599999996834,5394096.821000000461936,,
892,508958.541599999996834,5394096.821000000461936,509958.541599999996834,5393096.820999999530613,,
893,508958.541599999996834,5393096.820999999530613,509958.541599999996834,5392096.821000000461936,,
894,508958.541599999996834,5392096.821000000461936,509958.541599999996834,5391096.821000000461936,,
895,508958.541599999996834,5391096.821000000461936,509958.541599999996834,5390096.821000000461936,,
896,508958.541599999996834,5390096.821000000461936,509958.541599999996834,5389096.820999999530613,,
897,508958.541599999996834,5389096.820999999530613,509958.541599999996834,5388096.821000000461936,,
898,508958.541599999996834,5388096.821000000461936,509958.541599999996834,5387096.821000000461936,,
899,508958.541599999996834,5387096.821000000461936,509958.541599999996834,5386096.821000000461936,,
900,508958.541599999996834,5386096.821000000461936,509958.541599999996834,5385096.820999999530613,,
901,508958.541599999996834,5385096.820999999530613,509958.541599999996834,5384096.821000000461936,,
902,508958.541599999996834,5384096.821000000461936,509958.541599999996834,5383096.821000000461936,,
903,508958.541599999996834,5383096.821000000461936,509958.541599999996834,5382096.821000000461936,,
904,508958.541599999996834,5382096.821000000461936,509958.541599999996834,5381096.820999999530613,,
