grid_id,left_bound,top_bound,right_bound,bottom_bound,latitude,longitude,lat_deg,long_deg,name,number,Direction,length(m),EW Joined layer_left,EW Joined layer_top,EW Joined layer_right,EW Joined layer_bottom,EW Joined layer_latitude,EW Joined layer_longitude,EW Joined layer_lat_deg,EW Joined layer_long_deg,EW Joined_name,EW Joined layer_number,EW Joined layer_Direction,EW Joined_length(m)
74,485958.5416,5361096.821,486958.5416,5360096.821,5360597,486459,48.398385,-123.182945,Haro Strait,62,NS,47948.0208,485958.5416,5361096.821,486958.5416,5360096.821,5360597,486459,48.398385,-123.182945,Strait of Juan de Fuca,85,EW,47413.0115
75,486958.5416,5397096.821,487958.5416,5396096.821,5396597,487459,48.722272,-123.17052,Boundary Pass,3,NS,7308.085,486958.5416,5397096.821,487958.5416,5396096.821,5396597,487459,48.722272,-123.17052,Strait of Georgia,1,EW,42832.6242
76,486958.5416,5396096.821,487958.5416,5395096.821,5395597,487459,48.713276,-123.17049,Boundary Pass,3,NS,7308.085,486958.5416,5396096.821,487958.5416,5395096.821,5395597,487459,48.713276,-123.17049,Haro Strait,2,EW,18156.5558
77,486958.5416,5395096.821,487958.5416,5394096.821,5394597,487459,48.70428,-123.170459,Boundary Pass,3,NS,7308.085,486958.5416,5395096.821,487958.5416,5394096.821,5394597,487459,48.70428,-123.170459,Haro Strait,5,EW,18042.9961
78,486958.5416,5394096.821,487958.5416,5393096.821,5393597,487459,48.695284,-123.170429,Boundary Pass,3,NS,7308.085,486958.5416,5394096.821,487958.5416,5393096.821,5393597,487459,48.695284,-123.170429,Haro Strait,8,EW,21328.1144
79,486958.5416,5393096.821,487958.5416,5392096.821,5392597,487459,48.686288,-123.170398,Boundary Pass,3,NS,7308.085,486958.5416,5393096.821,487958.5416,5392096.821,5392597,487459,48.686288,-123.170398,Haro Strait,11,EW,12330.0485
80,486958.5416,5392096.821,487958.5416,5391096.821,5391597,487459,48.677292,-123.170368,,,,,486958.5416,5392096.821,487958.5416,5391096.821,5391597,487459,48.677292,-123.170368,Haro Strait,16,EW,9376.4653
81,486958.5416,5391096.821,487958.5416,5390096.821,5390597,487459,48.668295,-123.170338,,,,,486958.5416,5391096.821,487958.5416,5390096.821,5390597,487459,48.668295,-123.170338,Reid Harbor,20,EW,1407.2491
82,486958.5416,5390096.821,487958.5416,5389096.821,5389597,487459,48.659299,-123.170307,Haro Strait,34,NS,7422.9589,486958.5416,5390096.821,487958.5416,5389096.821,5389597,487459,48.659299,-123.170307,Reid Harbor,27,EW,3141.1131
83,486958.5416,5389096.821,487958.5416,5388096.821,5388597,487459,48.650303,-123.170277,Haro Strait,34,NS,7422.9589,486958.5416,5389096.821,487958.5416,5388096.821,5388597,487459,48.650303,-123.170277,New Channel,29,EW,4735.1095
84,486958.5416,5388096.821,487958.5416,5387096.821,5387597,487459,48.641307,-123.170247,Haro Strait,34,NS,7422.9589,486958.5416,5388096.821,487958.5416,5387096.821,5387597,487459,48.641307,-123.170247,Haro Strait,37,EW,13616.3647
85,486958.5416,5387096.821,487958.5416,5386096.821,5386597,487459,48.632311,-123.170217,Haro Strait,34,NS,7422.9589,486958.5416,5387096.821,487958.5416,5386096.821,5386597,487459,48.632311,-123.170217,San Juan Channel,38,EW,19047.5694
86,486958.5416,5386096.821,487958.5416,5385096.821,5385597,487459,48.623315,-123.170186,Haro Strait,34,NS,7422.9589,486958.5416,5386096.821,487958.5416,5385096.821,5385597,487459,48.623315,-123.170186,Haro Strait,43,EW,11869.3063
87,486958.5416,5385096.821,487958.5416,5384096.821,5384597,487459,48.614319,-123.170156,Haro Strait,34,NS,7422.9589,486958.5416,5385096.821,487958.5416,5384096.821,5384597,487459,48.614319,-123.170156,Roche Harbor,52,EW,867.6388
88,486958.5416,5384096.821,487958.5416,5383096.821,5383597,487459,48.605322,-123.170126,Haro Strait,34,NS,7422.9589,486958.5416,5384096.821,487958.5416,5383096.821,5383597,487459,48.605322,-123.170126,Roche Harbor,56,EW,1055.1116
