Date_Time (LST/LDT), Event, Speed (knots)
2020-03-30 21:07, flood,0.8
2020-03-31 00:46, slack,-
2020-03-31 02:22, ebb,-0.3
2020-03-31 06:00, slack,-
2020-03-31 09:34, slack,-
2020-03-31 13:04, ebb,-0.5
2020-03-31 16:36, slack,-
2020-03-31 22:07, flood,0.8
2020-04-01 01:52, slack,-
2020-04-01 03:28, ebb,-0.3
2020-04-01 08:22, slack,-
2020-04-01 13:58, ebb,-0.5
2020-04-01 17:36, slack,-
2020-04-01 23:07, flood,0.9
2020-04-02 02:46, slack,-
2020-04-02 04:28, ebb,-0.3
2020-04-02 09:40, slack,-
2020-04-02 15:04, ebb,-0.5
2020-04-02 18:36, slack,-
2020-04-03 00:01, flood,0.9
2020-04-03 03:34, slack,-
2020-04-03 05:22, ebb,-0.3
2020-04-03 09:36, slack,-
2020-04-03 12:58, slack,-
2020-04-03 16:10, ebb,-0.5
2020-04-03 19:36, slack,-
2020-04-04 00:55, flood,1.0
2020-04-04 04:16, slack,-
2020-04-04 05:58, ebb,-0.4
2020-04-04 09:48, slack,-
2020-04-04 13:13, flood,0.2
2020-04-04 14:46, slack,-
2020-04-04 17:16, ebb,-0.5
2020-04-04 20:36, slack,-
2020-04-05 01:43, flood,1.0
2020-04-05 04:52, slack,-
2020-04-05 06:34, ebb,-0.4
2020-04-05 10:12, slack,-
2020-04-05 14:07, flood,0.4
2020-04-05 16:10, slack,-
2020-04-05 18:22, ebb,-0.5
2020-04-05 21:36, slack,-
2020-04-06 02:31, flood,1.0
2020-04-06 05:28, slack,-
2020-04-06 07:10, ebb,-0.5
2020-04-06 10:42, slack,-
2020-04-06 15:01, flood,0.6
2020-04-06 17:22, slack,-
2020-04-06 19:22, ebb,-0.5
2020-04-06 22:30, slack,-
2020-04-07 03:19, flood,0.9
2020-04-07 06:04, slack,-
2020-04-07 07:46, ebb,-0.5
2020-04-07 11:12, slack,-
2020-04-07 15:49, flood,0.7
2020-04-07 18:28, slack,-
2020-04-07 20:22, ebb,-0.5
2020-04-07 23:30, slack,-
2020-04-08 04:07, flood,0.9
2020-04-08 06:46, slack,-
2020-04-08 08:28, ebb,-0.6
2020-04-08 11:54, slack,-
