Date_Time (LST/LDT), Event, Speed (knots)
2020-04-05 04:30, slack,-
2020-04-05 09:30, ebb,-0.8
2020-04-05 13:36, slack,-
2020-04-05 14:54, flood,0.1
2020-04-05 16:12, slack,-
2020-04-05 20:54, ebb,-0.9
2020-04-06 00:24, slack,-
2020-04-06 02:30, flood,0.5
2020-04-06 05:18, slack,-
2020-04-06 10:06, ebb,-1.0
2020-04-06 13:54, slack,-
2020-04-06 15:36, flood,0.3
2020-04-06 17:24, slack,-
2020-04-06 21:54, ebb,-1.0
2020-04-07 01:06, slack,-
2020-04-07 03:24, flood,0.6
2020-04-07 06:06, slack,-
2020-04-07 10:36, ebb,-1.2
2020-04-07 14:24, slack,-
2020-04-07 16:12, flood,0.4
2020-04-07 18:24, slack,-
2020-04-07 22:42, ebb,-1.0
2020-04-08 01:54, slack,-
2020-04-08 04:06, flood,0.6
2020-04-08 06:42, slack,-
2020-04-08 11:12, ebb,-1.3
2020-04-08 14:48, slack,-
2020-04-08 16:48, flood,0.5
2020-04-08 19:12, slack,-
2020-04-08 23:24, ebb,-1.0
2020-04-09 02:48, slack,-
2020-04-09 04:54, flood,0.6
2020-04-09 07:18, slack,-
2020-04-09 11:48, ebb,-1.3
2020-04-09 15:18, slack,-
2020-04-09 17:18, flood,0.6
2020-04-09 20:06, slack,-
2020-04-10 00:12, ebb,-1.0
2020-04-10 03:42, slack,-
2020-04-10 05:30, flood,0.5
2020-04-10 07:54, slack,-
2020-04-10 12:24, ebb,-1.3
2020-04-10 15:48, slack,-
2020-04-10 18:00, flood,0.7
2020-04-10 20:48, slack,-
2020-04-11 01:06, ebb,-1.0
2020-04-11 04:42, slack,-
2020-04-11 06:18, flood,0.3
2020-04-11 08:18, slack,-
2020-04-11 13:06, ebb,-1.2
2020-04-11 16:24, slack,-
2020-04-11 18:42, flood,0.7
2020-04-11 21:36, slack,-
2020-04-12 01:54, ebb,-0.9
2020-04-12 05:48, slack,-
2020-04-12 07:00, flood,0.1
2020-04-12 08:30, slack,-
2020-04-12 13:48, ebb,-1.1
2020-04-12 17:12, slack,-
2020-04-12 19:24, flood,0.6
2020-04-12 22:18, slack,-
2020-04-13 02:48, ebb,-0.7
2020-04-13 07:54, slack,-
2020-04-13 14:36, ebb,-1.0
2020-04-13 18:06, slack,-
2020-04-13 20:12, flood,0.5
2020-04-13 23:06, slack,-
2020-04-14 03:36, ebb,-0.5
2020-04-14 08:36, ebb,-0.2
2020-04-14 15:24, ebb,-1.0
2020-04-14 19:18, slack,-
2020-04-14 21:06, flood,0.3
2020-04-15 00:06, slack,-
2020-04-15 06:12, ebb,-0.4
2020-04-15 10:06, ebb,-0.3
2020-04-15 16:24, ebb,-0.9
2020-04-15 20:48, slack,-
2020-04-15 22:30, flood,0.1
2020-04-16 01:36, slack,-
2020-04-16 07:54, ebb,-0.5
2020-04-16 12:30, ebb,-0.2
2020-04-16 17:30, ebb,-0.8
2020-04-16 22:48, slack,-
2020-04-17 00:48, flood,0.2
2020-04-17 03:06, slack,-
2020-04-17 09:00, ebb,-0.6
2020-04-17 13:24, slack,-
2020-04-17 18:36, ebb,-0.8
2020-04-17 23:48, slack,-
2020-04-18 01:42, flood,0.2
2020-04-18 04:12, slack,-
2020-04-18 09:36, ebb,-0.7
2020-04-18 13:54, slack,-
2020-04-18 19:30, ebb,-0.7
2020-04-19 00:24, slack,-
2020-04-19 02:24, flood,0.3
2020-04-19 04:54, slack,-
2020-04-19 10:06, ebb,-0.8
2020-04-19 14:00, slack,-
2020-04-19 15:54, slack,-
2020-04-19 20:30, ebb,-0.7
2020-04-20 00:54, slack,-
2020-04-20 03:12, flood,0.3
2020-04-20 05:30, slack,-
2020-04-20 10:24, ebb,-0.9
2020-04-20 14:18, slack,-
2020-04-20 15:36, flood,0.1
2020-04-20 16:54, slack,-
2020-04-20 21:36, ebb,-0.8
2020-04-21 01:30, slack,-
2020-04-21 03:48, flood,0.4
2020-04-21 06:00, slack,-
2020-04-21 10:36, ebb,-1.0
2020-04-21 14:30, slack,-
2020-04-21 16:06, flood,0.2
2020-04-21 17:36, slack,-
2020-04-21 22:12, ebb,-0.8
2020-04-22 02:06, slack,-
2020-04-22 04:18, flood,0.3
2020-04-22 06:30, slack,-
2020-04-22 10:48, ebb,-1.0
2020-04-22 14:42, slack,-
2020-04-22 16:30, flood,0.3
2020-04-22 18:18, slack,-
2020-04-22 22:48, ebb,-0.8
2020-04-23 02:42, slack,-
2020-04-23 04:48, flood,0.3
2020-04-23 06:54, slack,-
2020-04-23 11:18, ebb,-1.1
2020-04-23 15:00, slack,-
2020-04-23 16:48, flood,0.4
2020-04-23 19:06, slack,-
2020-04-23 23:24, ebb,-0.8
2020-04-24 03:24, slack,-
2020-04-24 05:00, flood,0.2
2020-04-24 07:06, slack,-
2020-04-24 11:48, ebb,-1.1
2020-04-24 15:24, slack,-
2020-04-24 17:18, flood,0.5
2020-04-24 19:48, slack,-
2020-04-25 00:00, ebb,-0.7
2020-04-25 03:54, slack,-
2020-04-25 05:18, flood,0.2
2020-04-25 07:06, slack,-
2020-04-25 12:24, ebb,-1.2
2020-04-25 15:54, slack,-
2020-04-25 17:48, flood,0.5
2020-04-25 20:30, slack,-
2020-04-26 00:36, ebb,-0.6
2020-04-26 04:24, slack,-
2020-04-26 05:42, flood,0.1
2020-04-26 07:06, slack,-
2020-04-26 13:06, ebb,-1.2
2020-04-26 16:30, slack,-
2020-04-26 18:30, flood,0.5
2020-04-26 21:12, slack,-
2020-04-27 01:18, ebb,-0.5
2020-04-27 04:48, slack,-
